year,seed,team,conference,wins,losses,ps_per_game,pa_per_game,srs,sos,offensive_rating,defensive_rating,fg_per_game,fga_per_game,fg_pct,fg2_per_game,fg2a_per_game,fg2_pct,fg3_per_game,fg3a_per_game,fg3_pct,ft_per_game,fta_per_game,ft_pct,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,win_pct
2009,15,Robert Morris,Northeast,24,10,70.5,65.4,-0.7,-5.23,,,25.1,53.1,0.473,18.7,36.7,0.509,6.5,16.4,0.394,13.7,19.5,0.704,10.1,23.1,33.2,15.3,8.6,3.5,15.1,19.8,0.706
2009,14,North Dakota State,Summit,26,6,80.6,69.1,6.18,-2.72,,,28.6,58.7,0.487,21.4,41.2,0.519,7.2,17.5,0.412,16.2,21.9,0.739,11.0,24.5,35.5,14.7,7.0,3.3,11.2,16.3,0.812
2009,13,Cleveland State,Horizon,25,10,66.4,59.5,6.97,2.12,,,23.8,55.2,0.432,19.0,39.6,0.479,4.9,15.6,0.311,13.8,19.7,0.701,11.9,22.3,34.2,13.8,8.6,3.2,12.3,18.4,0.714
2009,12,Arizona,Pac-10,19,13,72.3,69.2,11.88,8.8,,,25.6,54.1,0.474,19.6,38.4,0.51,6.1,15.7,0.387,14.9,20.3,0.738,11.1,22.7,33.8,14.3,6.2,3.0,12.6,15.7,0.594
2009,11,Dayton,Atlantic 10,26,7,66.8,61.4,7.16,1.76,,,23.7,56.3,0.421,18.3,39.8,0.46,5.4,16.5,0.328,13.9,21.5,0.648,13.8,24.1,37.9,13.9,6.5,3.5,13.6,19.2,0.788
2009,10,USC,Pac-10,21,12,68.5,63.5,14.09,9.15,,,24.9,52.7,0.473,21.2,41.3,0.513,3.7,11.3,0.326,15.0,22.2,0.674,11.7,23.9,35.6,12.5,6.4,4.7,13.9,16.7,0.636
2009,9,Siena,MAAC,26,7,77.4,70.3,8.05,0.99,,,28.8,61.6,0.467,23.5,45.7,0.515,5.3,15.9,0.33,14.6,22.0,0.664,12.5,23.9,36.4,15.3,8.8,4.5,13.2,14.9,0.788
2009,8,Ohio State,Big Ten,22,10,66.8,62.0,12.48,8.23,,,23.6,49.0,0.481,17.0,31.6,0.539,6.5,17.5,0.375,13.2,18.8,0.701,8.1,23.0,31.0,13.3,5.9,5.3,13.3,15.2,0.688
2009,7,Boston College,ACC,22,11,74.4,70.5,10.36,7.23,,,26.0,58.8,0.443,19.6,39.7,0.494,6.4,19.1,0.334,15.9,21.6,0.738,14.3,22.8,37.0,14.8,6.1,4.3,13.4,18.1,0.667
2009,6,West Virginia,Big East,23,11,72.0,61.8,18.57,8.34,,,25.3,59.1,0.429,18.7,39.0,0.48,6.6,20.1,0.329,14.8,21.2,0.698,15.2,23.1,38.3,15.1,6.7,4.5,12.0,18.9,0.676
2009,5,Utah,Mountain West,24,9,71.2,64.6,12.59,5.71,,,24.1,50.8,0.474,17.0,31.5,0.538,7.1,19.3,0.369,15.9,20.4,0.781,8.2,26.9,35.1,13.5,5.0,4.9,13.8,18.6,0.727
2009,4,Wake Forest,ACC,24,6,81.0,70.7,15.63,7.36,,,29.2,59.6,0.49,25.2,46.9,0.536,4.1,12.7,0.32,18.5,25.9,0.711,12.6,28.1,40.7,13.1,8.3,5.7,15.9,18.8,0.8
2009,3,Kansas,Big 12,25,7,76.4,65.4,18.02,7.9,,,27.0,56.5,0.478,20.8,39.8,0.522,6.2,16.7,0.371,16.2,22.3,0.725,12.0,27.1,39.2,15.9,6.8,4.4,14.5,19.0,0.781
2009,2,Michigan State,Big Ten,26,6,72.0,63.7,17.71,9.37,,,25.3,56.2,0.451,20.0,41.3,0.485,5.3,14.9,0.354,16.1,23.1,0.698,14.0,25.0,39.0,16.1,6.5,2.8,14.0,19.3,0.812
2009,1,Louisville,Big East,28,5,74.3,61.8,20.87,8.41,,,27.1,59.2,0.457,18.8,36.8,0.511,8.2,22.4,0.369,11.9,18.6,0.642,12.5,25.2,37.7,16.9,9.1,6.0,13.7,16.9,0.848
2009,16,East Tennessee State,Atlantic Sun,23,10,78.1,70.1,3.21,-1.87,,,27.8,60.1,0.462,22.0,42.8,0.515,5.7,17.4,0.331,16.9,23.8,0.709,11.6,26.3,37.9,12.6,8.4,3.9,14.0,18.3,0.697
2009,15,Binghamton,America East,23,8,70.0,67.4,-3.27,-5.62,,,24.3,55.1,0.441,18.3,37.2,0.493,6.0,18.0,0.334,15.3,22.9,0.67,11.2,23.3,34.4,12.0,7.1,4.2,13.5,20.4,0.742
2009,14,American,Patriot,24,7,64.5,59.1,-0.05,-5.49,,,23.5,50.4,0.465,16.3,31.2,0.522,7.2,19.2,0.374,10.4,16.1,0.648,9.4,23.3,32.7,13.2,5.5,2.5,13.2,18.2,0.774
2009,13,Portland State,Big Sky,23,9,73.2,68.5,1.14,-3.16,,,26.1,57.5,0.453,16.5,32.2,0.511,9.6,25.3,0.38,11.5,16.9,0.679,11.8,22.1,33.8,15.2,7.4,2.8,13.7,16.8,0.719
2009,12,Wisconsin,Big Ten,20,12,63.8,59.0,12.43,8.43,,,22.3,51.1,0.436,15.8,33.2,0.477,6.5,17.9,0.36,12.8,17.7,0.726,9.6,21.3,30.9,11.9,4.9,2.6,10.0,16.1,0.625
2009,11,Virginia Commonwealth,CAA,24,9,71.8,63.4,7.7,-0.65,,,25.5,55.2,0.461,18.9,37.6,0.504,6.5,17.7,0.369,14.3,20.3,0.705,10.6,23.2,33.9,13.8,7.6,4.6,12.7,19.2,0.727
2009,10,Minnesota,Big Ten,22,10,66.3,61.6,11.32,7.19,,,23.7,53.7,0.441,18.0,36.3,0.496,5.7,17.4,0.327,13.2,18.5,0.715,12.0,22.4,34.4,14.1,8.3,6.1,14.5,17.8,0.688
2009,9,Tennessee,SEC,21,12,78.4,72.5,13.6,7.71,,,28.1,61.9,0.455,21.4,40.5,0.529,6.7,21.4,0.315,15.4,22.7,0.676,14.3,24.4,38.7,16.3,6.6,3.6,13.3,19.0,0.636
2009,8,Oklahoma State,Big 12,23,11,80.9,74.5,13.78,7.44,,,27.1,58.8,0.46,17.7,34.5,0.514,9.3,24.3,0.384,17.3,23.2,0.748,9.9,25.1,34.9,12.7,7.6,2.3,12.3,21.3,0.676
2009,7,Texas,Big 12,23,11,72.3,65.6,14.83,8.09,,,26.2,58.9,0.444,21.5,42.8,0.502,4.7,16.2,0.293,15.2,22.8,0.668,14.2,24.7,38.8,12.8,6.2,5.3,12.6,19.3,0.676
2009,6,UCLA,Pac-10,26,8,75.5,64.0,18.64,7.18,,,27.6,56.4,0.49,20.1,37.6,0.535,7.5,18.7,0.399,12.7,17.6,0.724,11.3,21.6,32.9,15.5,8.3,3.1,12.6,17.1,0.765
2009,5,Florida State,ACC,25,9,68.3,64.9,11.37,7.91,,,23.4,53.9,0.435,17.3,35.9,0.481,6.2,18.0,0.342,15.3,21.1,0.725,11.4,24.4,35.8,12.1,8.1,5.8,15.7,18.8,0.735
2009,4,Xavier,Atlantic 10,28,7,71.7,61.9,14.45,4.65,,,24.2,52.7,0.459,17.4,35.4,0.491,6.8,17.3,0.394,16.4,24.3,0.676,12.0,27.4,39.4,13.3,5.3,5.1,14.6,18.7,0.8
2009,3,Villanova,Big East,30,7,76.8,67.4,17.45,8.72,,,26.1,57.7,0.451,19.6,39.3,0.498,6.5,18.4,0.352,18.2,24.2,0.753,12.6,25.6,38.1,14.5,7.9,3.4,13.3,19.3,0.811
2009,2,Duke,ACC,30,6,77.5,65.9,20.1,9.07,,,26.2,59.1,0.444,19.0,38.4,0.496,7.2,20.7,0.349,17.8,24.4,0.728,13.2,23.2,36.4,13.3,8.4,3.9,12.3,18.1,0.833
2009,1,Pittsburgh,Big East,31,4,77.4,64.4,21.21,8.61,,,28.9,60.4,0.478,22.6,42.6,0.531,6.3,17.8,0.352,13.4,19.8,0.676,14.8,25.0,39.8,17.6,6.8,3.9,12.1,16.3,0.886
2008,16,Mississippi Valley State,SWAC,17,15,61.7,65.9,-15.28,-9.5,,,21.2,53.2,0.398,16.7,40.0,0.418,4.5,13.2,0.337,14.9,22.0,0.678,11.8,21.8,33.5,11.5,6.2,2.7,14.3,17.6,0.531
2008,15,Belmont,Atlantic Sun,25,8,79.8,73.4,-0.12,-3.44,,,27.6,61.1,0.451,17.1,32.3,0.529,10.5,28.8,0.365,14.1,20.3,0.698,12.5,24.2,36.7,17.3,8.5,1.9,14.6,18.4,0.758
2008,14,Georgia,SEC,17,16,68.1,67.4,7.24,7.03,,,24.7,57.5,0.429,18.7,39.3,0.476,6.0,18.2,0.33,12.6,18.6,0.679,13.3,24.8,38.1,11.6,6.7,3.4,14.9,18.0,0.515
2008,13,San Diego,West Coast,21,13,65.7,63.8,3.39,1.45,,,24.1,53.5,0.451,19.2,39.0,0.492,4.9,14.4,0.34,12.6,18.7,0.672,10.7,22.8,33.5,13.2,6.9,3.1,14.9,17.5,0.618
2008,12,Western Kentucky,Sun Belt,27,6,77.4,66.8,9.34,0.24,,,27.6,58.5,0.472,20.1,39.4,0.51,7.5,19.1,0.393,14.7,21.0,0.701,12.6,22.4,35.1,12.7,8.0,3.8,14.3,21.3,0.818
2008,11,Baylor,Big 12,21,10,81.3,74.9,11.46,5.75,,,28.1,61.8,0.454,19.5,39.1,0.498,8.6,22.7,0.378,16.5,22.2,0.743,12.0,25.4,37.4,12.1,7.4,4.3,12.6,20.8,0.677
2008,10,Arizona,Pac-10,19,14,71.9,66.9,14.55,10.22,,,24.8,51.9,0.478,18.3,35.3,0.519,6.5,16.6,0.39,15.8,21.1,0.749,8.3,22.7,30.9,15.5,5.6,3.5,12.2,16.4,0.576
2008,9,Texas A&M,Big 12,24,10,70.8,61.6,16.2,7.46,,,25.3,54.0,0.467,19.4,37.7,0.514,5.9,16.3,0.359,14.4,22.8,0.633,11.8,27.2,38.9,13.5,4.4,4.0,12.7,17.0,0.706
2008,8,BYU,Mountain West,27,7,73.7,63.2,11.82,1.33,,,25.9,56.3,0.46,17.7,34.5,0.515,8.1,21.8,0.373,13.8,21.1,0.655,10.4,28.2,38.6,16.8,5.9,3.9,14.1,17.7,0.794
2008,7,West Virginia,Big East,24,10,74.8,63.6,17.97,7.16,,,26.6,58.6,0.453,19.4,38.5,0.504,7.1,20.1,0.355,14.6,21.1,0.689,12.2,23.8,36.0,15.4,6.9,5.1,11.2,19.2,0.706
2008,6,Purdue,Big Ten,24,8,69.6,62.4,13.1,5.9,,,23.7,55.9,0.424,16.3,35.9,0.453,7.4,20.0,0.373,14.8,20.7,0.712,11.4,21.6,33.1,13.3,8.4,4.3,12.8,19.7,0.75
2008,5,Drake,Missouri Valley,28,4,73.9,62.1,14.08,4.15,,,24.7,55.4,0.446,15.3,30.0,0.512,9.4,25.5,0.369,15.1,19.9,0.759,12.1,22.1,34.2,14.7,7.6,2.6,11.8,14.9,0.875
2008,4,Connecticut,Big East,24,8,77.5,68.7,15.54,6.75,,,26.3,57.0,0.462,21.2,42.9,0.495,5.1,14.1,0.361,19.8,27.4,0.72,13.6,28.3,41.9,14.8,5.7,8.6,13.7,15.3,0.75
2008,3,Xavier,Atlantic 10,27,6,75.1,63.4,17.17,5.46,,,25.3,53.3,0.474,17.7,33.8,0.522,7.6,19.5,0.391,16.9,22.6,0.749,11.1,24.6,35.7,15.2,5.6,3.4,13.0,17.4,0.818
2008,2,Duke,ACC,27,5,83.2,69.4,21.52,9.28,,,28.4,61.3,0.463,19.3,37.3,0.517,9.1,24.0,0.377,17.5,25.1,0.697,12.5,24.4,36.9,14.6,8.7,3.9,13.6,19.2,0.844
2008,1,UCLA,Pac-10,31,3,73.5,59.0,21.71,7.71,,,26.4,55.5,0.476,20.9,39.8,0.525,5.5,15.7,0.35,15.3,20.8,0.732,12.6,24.1,36.7,14.4,7.3,4.3,12.6,14.6,0.912
2008,16,Texas–Arlington,Southland,21,11,73.4,68.9,-2.87,-4.62,,,26.3,55.2,0.477,20.2,37.7,0.537,6.1,17.5,0.348,14.7,22.5,0.655,10.7,27.2,37.8,14.2,6.6,2.6,17.1,19.7,0.656
2008,15,Austin Peay,Ohio Valley,24,10,74.0,70.8,-2.21,-5.24,,,24.4,54.8,0.446,16.6,34.3,0.484,7.8,20.4,0.382,17.3,24.3,0.714,10.3,21.3,31.6,14.3,9.6,2.1,12.6,17.6,0.706
2008,14,Cornell,Ivy League,22,5,76.3,68.5,0.76,-4.74,,,27.1,55.8,0.485,18.9,35.9,0.528,8.1,19.9,0.409,14.0,18.4,0.761,9.2,24.3,33.5,15.3,6.1,3.1,13.6,18.2,0.815
2008,13,Oral Roberts,Summit,24,8,69.2,62.0,5.71,-0.26,,,23.8,54.0,0.44,17.0,35.7,0.477,6.8,18.3,0.369,14.8,22.1,0.67,11.2,24.6,35.8,13.5,6.2,4.0,13.1,16.8,0.75
2008,12,Temple,Atlantic 10,21,12,72.3,68.7,8.16,4.57,,,25.2,53.8,0.469,17.4,32.6,0.533,7.8,21.2,0.369,14.0,19.0,0.74,8.9,23.7,32.6,15.0,6.3,4.4,12.7,17.7,0.636
2008,11,Kentucky,SEC,18,12,68.5,65.6,9.19,7.09,,,23.7,50.5,0.469,17.8,34.6,0.515,5.9,15.9,0.369,15.2,20.8,0.733,9.7,23.8,33.5,12.7,6.6,4.8,15.8,18.9,0.6
2008,10,Saint Mary's,West Coast,25,6,75.7,63.7,11.39,0.36,,,26.4,57.6,0.458,18.5,35.5,0.52,7.9,22.1,0.36,14.9,22.6,0.661,12.0,25.9,38.0,14.6,7.2,5.3,13.7,17.4,0.806
2008,9,Oregon,Pac-10,18,13,76.6,72.5,11.68,7.65,,,26.8,55.9,0.48,18.1,33.7,0.538,8.7,22.2,0.392,14.2,20.5,0.694,10.2,23.9,34.2,14.8,4.6,2.5,12.6,18.3,0.581
2008,8,Mississippi State,SEC,22,10,73.2,65.5,13.42,5.74,,,26.0,56.5,0.46,19.1,35.9,0.533,6.9,20.7,0.334,14.2,22.0,0.646,12.1,28.7,40.7,13.2,5.9,7.9,15.0,16.7,0.688
2008,7,Miami (FL),ACC,22,10,74.8,67.9,12.38,7.13,,,25.5,58.4,0.437,18.6,40.4,0.46,6.9,18.0,0.385,16.8,22.5,0.747,12.7,25.3,38.0,13.3,5.9,4.6,13.4,18.8,0.688
2008,6,Marquette,Big East,24,9,75.9,64.8,18.62,8.09,,,26.5,59.5,0.446,19.5,39.6,0.493,7.0,19.9,0.353,15.8,22.4,0.706,13.5,23.2,36.8,14.7,9.3,3.8,12.9,20.9,0.727
2008,5,Michigan State,Big Ten,25,8,71.2,62.6,16.32,7.68,,,26.4,54.9,0.48,21.4,41.5,0.516,5.0,13.4,0.371,13.5,18.4,0.737,12.2,24.7,36.9,17.5,5.8,4.2,13.6,18.5,0.758
2008,4,Pittsburgh,Big East,26,9,73.8,65.1,15.62,7.84,,,26.9,59.1,0.456,20.9,40.9,0.51,6.1,18.1,0.335,13.8,20.8,0.667,14.4,23.4,37.8,15.6,6.8,3.4,12.0,16.2,0.743
2008,3,Stanford,Pac-10,26,7,70.9,61.6,16.31,6.95,,,25.0,55.8,0.449,19.5,40.7,0.48,5.5,15.1,0.366,15.3,22.1,0.694,13.3,25.9,39.1,14.6,4.4,5.2,12.3,17.0,0.788
2008,2,Texas,Big 12,28,6,75.5,64.9,18.13,8.59,,,27.2,60.1,0.452,19.0,39.1,0.487,8.1,21.1,0.386,13.0,19.1,0.683,13.1,25.1,38.1,13.2,6.0,5.2,9.4,16.6,0.824
2008,1,Memphis,C-USA,33,1,79.9,61.9,23.73,5.76,,,28.6,61.4,0.466,21.0,39.7,0.529,7.6,21.6,0.349,15.2,24.8,0.614,14.1,26.4,40.5,15.9,8.4,6.1,11.8,17.3,0.971
2008,16,Portland State,Big Sky,23,9,73.9,68.0,1.72,-3.01,,,25.6,55.2,0.464,16.7,32.5,0.514,8.9,22.7,0.393,13.7,20.2,0.677,11.5,22.7,34.2,15.8,7.0,3.3,14.7,17.9,0.719
2008,15,UMBC,America East,24,8,74.2,68.4,0.06,-4.53,,,26.3,58.4,0.451,18.8,39.1,0.481,7.5,19.3,0.389,14.1,19.4,0.725,11.2,22.9,34.1,15.2,6.3,3.5,9.6,16.3,0.75
2008,14,Cal State Fullerton,Big West,24,8,81.8,72.7,5.64,-3.06,,,29.5,62.4,0.473,20.9,40.0,0.522,8.6,22.5,0.385,14.2,20.2,0.702,11.8,24.0,35.8,15.3,9.0,1.5,13.5,19.1,0.75
2008,13,Siena,MAAC,22,10,76.9,71.2,4.06,-1.62,,,27.3,60.5,0.451,20.3,42.1,0.481,7.0,18.4,0.382,15.2,22.1,0.689,11.5,22.3,33.8,14.4,9.4,3.5,11.3,15.5,0.688
2008,12,Villanova,Big East,20,12,72.8,69.5,11.0,7.69,,,24.8,57.5,0.431,17.9,37.4,0.478,6.9,20.1,0.344,16.3,22.4,0.727,13.1,22.9,35.9,13.3,8.1,2.8,14.4,20.8,0.625
2008,11,Kansas State,Big 12,20,11,78.0,68.9,15.79,7.79,,,27.8,62.6,0.443,21.4,42.6,0.502,6.4,20.1,0.317,16.1,23.5,0.687,16.3,24.9,41.3,15.5,7.5,3.4,15.2,20.2,0.645
2008,10,Davidson,Southern,26,6,77.9,63.2,13.93,1.66,,,28.7,61.1,0.469,19.6,36.1,0.542,9.1,25.0,0.364,11.4,15.9,0.717,11.6,24.6,36.2,17.1,8.1,3.2,11.8,18.2,0.812
2008,9,Kent State,MAC,28,6,68.9,61.9,7.47,0.41,,,24.0,51.7,0.464,18.2,35.9,0.506,5.8,15.7,0.367,15.2,21.3,0.714,11.0,22.3,33.3,13.9,8.6,3.8,14.7,18.7,0.824
2008,8,UNLV,Mountain West,26,7,69.7,62.3,10.23,4.02,,,24.1,57.1,0.422,16.6,34.4,0.482,7.5,22.7,0.332,13.9,18.7,0.747,10.2,24.4,34.5,14.6,7.9,3.0,10.8,17.3,0.788
2008,7,Gonzaga,West Coast,25,7,76.5,63.8,14.81,2.15,,,27.0,55.7,0.485,20.4,37.9,0.537,6.7,17.8,0.375,15.8,22.1,0.712,11.2,26.2,37.4,14.5,7.7,4.6,14.3,17.7,0.781
2008,6,USC,Pac-10,21,11,69.0,63.7,13.89,8.59,,,24.8,51.8,0.48,19.3,37.4,0.515,5.6,14.4,0.387,13.7,20.0,0.685,9.2,24.3,33.5,12.4,5.7,4.4,14.6,16.1,0.656
2008,5,Clemson,ACC,24,9,79.2,69.8,18.05,9.08,,,29.4,64.4,0.456,21.4,43.0,0.498,8.0,21.4,0.372,12.4,19.9,0.623,15.8,22.6,38.4,15.7,9.8,5.4,14.9,19.5,0.727
2008,4,Vanderbilt,SEC,26,7,80.0,74.6,10.96,5.54,,,27.3,58.7,0.465,18.4,36.3,0.506,8.9,22.4,0.399,16.5,22.5,0.735,10.6,24.6,35.2,17.8,6.1,3.5,14.5,18.3,0.788
2008,3,Wisconsin,Big Ten,29,4,67.2,54.4,19.59,6.73,,,23.4,52.0,0.449,17.5,35.4,0.493,5.9,16.6,0.356,14.6,20.8,0.705,11.6,24.3,35.9,12.6,6.1,3.3,12.2,14.4,0.879
2008,2,Georgetown,Big East,27,5,69.6,58.1,18.73,7.23,,,25.1,51.3,0.49,17.2,30.7,0.562,7.9,20.6,0.384,11.4,17.4,0.654,9.9,25.1,35.0,15.5,6.9,4.8,13.5,17.6,0.844
2008,1,Kansas,Big 12,31,3,80.5,61.5,26.89,8.2,,,29.4,57.9,0.508,22.6,40.8,0.555,6.8,17.1,0.397,15.0,21.3,0.702,12.1,26.6,38.7,18.0,8.9,5.9,13.2,17.7,0.912
2008,16,Mount St. Mary's,Northeast,18,14,69.2,67.7,-3.59,-5.12,,,24.2,54.6,0.443,18.2,38.0,0.479,6.0,16.6,0.361,14.9,21.1,0.703,10.1,23.7,33.9,12.9,7.2,3.6,14.3,19.7,0.562
2008,15,American,Patriot League,21,11,64.8,62.1,-1.87,-4.0,,,21.2,48.1,0.44,13.3,28.7,0.462,7.9,19.3,0.408,14.7,19.8,0.739,9.7,22.5,32.2,11.8,4.6,2.6,13.9,17.8,0.656
2008,14,Boise State,WAC,25,8,81.4,75.5,1.6,-2.07,,,29.2,57.5,0.508,21.3,37.2,0.571,8.0,20.3,0.393,14.9,22.6,0.661,9.9,26.0,35.8,17.8,6.3,2.4,15.7,17.4,0.758
2008,13,Winthrop,Big South,22,11,64.9,58.5,3.61,-1.45,,,23.4,53.4,0.438,17.0,36.1,0.471,6.4,17.2,0.37,11.7,19.8,0.591,11.6,23.6,35.1,12.8,8.4,3.6,12.9,17.4,0.667
2008,12,George Mason,CAA,23,10,69.3,62.5,6.07,-0.75,,,24.3,52.3,0.465,18.3,34.9,0.524,6.0,17.4,0.347,14.6,20.8,0.703,10.0,24.4,34.4,13.1,5.6,3.2,11.9,15.4,0.697
2008,11,Saint Joseph's,Atlantic 10,21,12,73.1,67.4,9.63,3.98,,,25.3,52.9,0.477,18.0,34.1,0.528,7.3,18.8,0.386,15.3,21.0,0.726,9.9,22.0,31.9,14.8,7.1,4.5,12.7,17.6,0.636
2008,10,South Alabama,Sun Belt,26,6,75.1,65.4,7.76,-1.21,,,25.5,53.8,0.474,18.8,35.4,0.531,6.7,18.4,0.362,17.5,24.9,0.704,12.2,24.8,37.0,15.4,6.1,3.0,13.8,17.2,0.812
2008,9,Arkansas,SEC,22,11,74.1,68.3,12.48,6.73,,,26.7,57.2,0.468,20.8,39.8,0.523,5.9,17.3,0.341,14.7,21.7,0.678,12.7,23.7,36.4,14.4,6.9,5.2,15.2,18.9,0.667
2008,8,Indiana,Big Ten,25,7,75.0,65.3,15.78,6.08,,,25.4,55.0,0.463,18.7,35.8,0.523,6.7,19.2,0.349,17.5,23.0,0.759,11.7,26.1,37.8,13.2,7.1,3.8,13.6,17.4,0.781
2008,7,Butler,Horizon,29,3,68.8,58.4,13.0,2.64,,,22.8,50.9,0.449,13.4,26.2,0.513,9.4,24.7,0.38,13.8,18.7,0.737,9.1,20.8,29.9,13.1,6.5,2.4,10.4,17.3,0.906
2008,6,Oklahoma,Big 12,22,11,67.9,63.8,11.97,7.85,,,23.7,53.7,0.442,17.5,35.7,0.49,6.3,18.1,0.348,14.2,20.8,0.681,11.2,24.3,35.4,12.5,6.5,3.9,12.9,17.0,0.667
2008,5,Notre Dame,Big East,24,7,79.0,69.6,16.15,7.03,,,27.7,61.1,0.454,19.4,40.5,0.478,8.3,20.5,0.405,15.3,20.8,0.738,13.2,28.3,41.5,18.4,6.2,3.8,13.0,15.1,0.774
2008,4,Washington State,Pac-10,24,8,66.4,56.4,16.35,6.35,,,23.3,49.0,0.475,17.2,32.4,0.53,6.1,16.6,0.368,13.7,18.9,0.728,7.8,22.0,29.8,13.8,6.2,2.9,10.2,15.3,0.75
2008,3,Louisville,Big East,24,8,72.5,61.5,19.0,8.0,,,25.9,55.9,0.463,18.3,34.3,0.535,7.6,21.6,0.35,13.2,20.4,0.647,11.5,25.7,37.2,15.1,8.0,4.9,13.6,18.3,0.75
2008,2,Tennessee,SEC,29,4,81.8,70.0,18.41,7.84,,,28.8,62.7,0.458,20.1,38.4,0.523,8.7,24.3,0.357,15.7,23.8,0.659,13.9,23.8,37.7,17.7,9.3,3.3,13.2,20.8,0.879
2008,1,North Carolina,ACC,32,2,88.6,72.5,24.17,8.12,,,32.1,65.7,0.488,26.5,50.9,0.521,5.5,14.9,0.372,18.9,25.0,0.757,15.5,27.9,43.5,16.8,8.2,4.5,14.4,16.9,0.941
2007,16,Niagara,MAAC,22,11,75.8,74.5,-3.41,-4.7,,,25.4,60.7,0.418,17.6,37.9,0.464,7.8,22.8,0.343,17.2,23.5,0.731,14.8,23.6,38.3,13.3,6.4,1.6,13.5,17.5,0.667
2007,15,Weber State,Big Sky,20,11,70.8,69.2,-4.03,-3.33,,,24.1,49.3,0.489,18.5,35.1,0.527,5.6,14.3,0.395,16.9,25.2,0.672,9.6,23.2,32.8,13.7,6.6,2.4,16.1,19.1,0.645
2007,14,Wright State,Horizon,23,9,64.4,62.2,1.94,-0.31,,,23.2,53.0,0.438,17.8,37.3,0.476,5.5,15.7,0.347,12.5,17.1,0.732,10.1,22.0,32.1,12.2,5.9,1.5,12.1,17.4,0.719
2007,13,Holy Cross,Patriot,25,8,63.9,57.5,3.32,-3.06,,,21.7,49.9,0.435,16.1,33.9,0.475,5.6,16.0,0.351,14.8,20.2,0.734,11.4,20.7,32.1,13.6,9.5,3.6,15.3,18.3,0.758
2007,12,Illinois,Big Ten,23,11,64.1,57.1,14.18,7.09,,,22.6,52.3,0.432,15.7,32.5,0.482,6.9,19.7,0.349,12.1,19.4,0.624,12.5,22.7,35.2,13.9,5.9,2.8,14.0,17.3,0.676
2007,11,Virginia Commonwealth,CAA,27,6,75.0,65.7,9.49,0.2,,,25.7,56.3,0.457,18.8,38.9,0.482,7.0,17.4,0.401,16.6,22.8,0.728,12.2,21.1,33.3,13.6,7.7,3.0,11.3,18.4,0.818
2007,10,Gonzaga,West Coast,23,10,78.5,70.1,12.15,3.77,,,27.4,56.8,0.483,20.7,39.7,0.521,6.8,17.1,0.395,16.8,22.4,0.751,10.4,27.0,37.4,14.5,6.2,3.6,13.9,19.2,0.697
2007,9,Villanova,Big East,22,10,72.5,64.6,16.13,9.16,,,23.5,55.4,0.424,16.0,34.0,0.469,7.5,21.3,0.352,18.0,23.1,0.781,13.3,23.0,36.2,12.7,8.1,3.2,13.6,19.5,0.688
2007,8,Kentucky,SEC,21,11,73.4,67.7,17.12,11.41,,,26.2,54.9,0.476,19.4,35.8,0.541,6.8,19.1,0.355,14.3,20.3,0.703,10.9,25.4,36.3,15.8,5.9,4.7,14.5,16.1,0.656
2007,7,Indiana,Big Ten,20,10,70.2,61.8,16.78,8.35,,,24.5,54.8,0.446,16.6,34.2,0.485,7.9,20.7,0.381,13.4,18.8,0.71,11.7,22.1,33.8,13.3,6.4,4.4,12.4,20.5,0.667
2007,6,Duke,ACC,22,10,70.4,62.0,18.85,10.48,,,24.9,53.2,0.469,18.9,37.4,0.506,6.0,15.8,0.381,14.6,21.2,0.689,11.5,23.8,35.3,13.1,7.3,4.8,15.4,17.5,0.688
2007,5,Virginia Tech,ACC,21,11,71.4,64.1,14.35,8.26,,,26.1,55.7,0.468,21.3,42.5,0.5,4.8,13.2,0.363,14.5,22.0,0.66,10.8,22.5,33.3,13.2,8.4,4.7,10.9,18.2,0.656
2007,4,Southern Illinois,Missouri Valley,27,6,62.9,56.2,13.59,7.53,,,21.2,47.3,0.448,14.9,30.3,0.494,6.2,17.0,0.366,14.4,20.8,0.693,9.6,20.3,29.9,11.5,6.6,3.2,14.0,20.2,0.818
2007,3,Pittsburgh,Big East,27,7,71.3,62.8,16.99,8.53,,,26.0,55.0,0.472,19.8,38.8,0.51,6.2,16.2,0.382,13.1,19.9,0.661,12.0,23.6,35.7,17.5,5.2,3.6,11.9,16.6,0.794
2007,2,UCLA,Pac-10,26,5,71.4,59.9,20.9,9.84,,,26.3,55.2,0.477,19.5,36.9,0.53,6.8,18.3,0.371,11.9,17.9,0.666,10.7,22.2,32.9,14.4,7.5,3.2,12.3,16.5,0.839
2007,1,Kansas,Big 12,31,4,78.4,61.7,22.62,6.86,,,29.1,59.0,0.494,23.0,43.6,0.528,6.1,15.4,0.396,14.1,21.3,0.66,12.8,26.9,39.7,17.1,9.2,6.5,14.2,18.9,0.886
2007,16,Central Connecticut,Northeast,22,11,68.9,66.1,-3.63,-6.48,,,23.2,53.6,0.434,15.5,33.4,0.466,7.7,20.2,0.381,14.8,20.2,0.73,11.8,22.9,34.7,12.5,6.0,3.4,14.1,16.0,0.667
