team,year,conference,seed,wins,losses,win_pct,ps_per_game,pa_per_game,srs,sos,fg_per_game,fga_per_game,fg_pct,fg2_per_game,fg2a_per_game,fg2_pct,fg3_per_game,fg3a_per_game,fg3_pct,ft_per_game,fta_per_game,ft_pct,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,offensive_rating,defensive_rating,ncaa_wins,ncaa_loss
Northern Iowa,2010,Missouri Valley,9,28,4,0.875,63.3,55.1,12.03,4.27,21.3,49.7,0.429,14.7,30.9,0.475,6.7,18.8,0.354,14.0,18.4,0.758,9.5,22.8,32.3,10.5,5.7,2.0,10.6,15.9,106.6,92.8,"Nevada-Las Vegas, Kansas",Michigan State
UNLV,2010,Mountain West,8,25,8,0.758,73.1,63.8,12.57,4.82,26.4,57.4,0.461,19.6,36.9,0.532,6.8,20.4,0.332,13.4,18.7,0.716,9.9,23.9,33.8,16.2,7.8,3.4,11.6,20.3,107.7,93.9,,Northern Iowa
Oklahoma State,2010,Big 12,7,22,10,0.688,73.8,68.0,12.34,6.97,25.4,56.4,0.451,17.1,32.6,0.525,8.3,23.8,0.349,14.7,20.6,0.714,9.9,25.5,35.4,12.5,6.5,2.5,12.7,20.1,107.2,98.6,,Georgia Tech
Tennessee,2010,SEC,6,25,8,0.758,73.5,65.2,16.05,7.75,26.8,58.8,0.456,20.9,40.4,0.518,5.9,18.4,0.32,14.1,20.9,0.671,11.9,24.6,36.6,14.3,7.8,3.7,13.2,19.8,105.0,93.2,"San Diego State, Ohio, Ohio State",Michigan State
Michigan State,2010,Big Ten,5,24,8,0.75,71.8,63.8,15.33,8.16,26.3,55.9,0.471,21.3,41.2,0.516,5.1,14.7,0.344,14.1,20.6,0.685,13.2,25.4,38.5,16.4,6.5,3.3,13.9,18.0,108.7,96.5,"New Mexico State, Maryland, Northern Iowa, Tennessee",Butler
Maryland,2010,ACC,4,23,8,0.742,79.7,68.3,17.75,7.95,29.3,62.2,0.471,23.4,46.7,0.5,5.9,15.5,0.382,15.2,20.9,0.729,12.8,25.7,38.5,16.5,7.8,4.7,11.6,16.8,112.2,96.2,Houston,Michigan State
Georgetown,2010,Big East,3,23,10,0.697,73.5,66.1,17.03,9.55,26.6,53.4,0.499,20.4,37.3,0.547,6.2,16.1,0.387,14.1,19.8,0.711,9.8,23.5,33.3,15.4,7.0,4.7,13.9,17.0,110.4,99.2,,Ohio
Ohio State,2010,Big Ten,2,27,7,0.794,74.1,61.5,19.48,7.37,26.6,54.0,0.492,19.1,34.9,0.548,7.5,19.1,0.39,13.5,19.4,0.696,8.8,24.6,33.4,14.7,7.1,4.2,11.2,15.3,113.0,93.8,"UC Santa Barbara, Georgia Tech",Tennessee
Kansas,2010,Big 12,1,32,2,0.941,81.6,64.2,24.68,8.25,28.7,58.6,0.489,21.4,40.6,0.527,7.3,18.0,0.404,16.9,24.2,0.699,13.0,27.5,40.5,16.9,8.4,6.4,13.1,18.3,116.8,91.9,Lehigh,Northern Iowa
East Tennessee State,2010,Atlantic Sun,16,20,14,0.588,69.3,67.5,-0.83,-1.47,24.4,56.5,0.432,19.4,40.1,0.483,5.1,16.4,0.308,15.3,23.3,0.659,12.7,23.8,36.5,10.9,8.4,3.2,14.8,19.2,99.5,97.0,,Kentucky
Morgan State,2010,MEAC,15,27,9,0.75,76.0,70.4,-1.18,-6.15,25.9,60.5,0.429,20.4,43.8,0.465,5.5,16.7,0.332,18.6,26.6,0.7,15.4,24.9,40.2,12.5,6.6,4.1,13.5,21.1,107.2,99.3,,West Virginia
Montana,2010,Big Sky,14,22,9,0.71,69.6,61.2,3.93,-2.35,24.7,51.1,0.483,18.2,34.7,0.523,6.6,16.4,0.399,13.6,18.8,0.723,8.8,23.9,32.8,12.4,6.4,3.3,12.2,17.8,109.8,96.6,,New Mexico
Wofford,2010,Southern,13,26,8,0.765,68.8,61.0,4.43,-2.57,23.6,53.5,0.44,17.8,36.9,0.481,5.8,16.6,0.35,15.9,23.7,0.669,11.5,24.0,35.5,13.4,6.9,2.1,11.9,17.7,105.4,93.4,,Wisconsin
Cornell,2010,Ivy League,12,27,4,0.871,76.4,64.5,8.76,-0.91,26.9,55.7,0.482,17.3,33.4,0.517,9.6,22.3,0.43,11.6,15.8,0.73,10.3,23.5,33.8,16.0,7.1,3.6,12.2,17.6,117.1,98.9,"Temple, Wisconsin",Kentucky
Washington,2010,Pac-10,11,24,9,0.727,79.2,70.0,15.64,7.49,27.9,61.4,0.454,22.6,45.7,0.495,5.3,15.8,0.336,18.1,25.1,0.72,13.2,24.7,37.9,14.3,7.3,4.2,12.8,21.3,108.5,95.8,"Marquette, New Mexico",West Virginia
Missouri,2010,Big 12,10,22,10,0.688,77.3,66.2,17.39,6.36,27.2,61.9,0.44,19.6,41.3,0.476,7.6,20.6,0.368,15.2,21.0,0.724,13.0,22.3,35.3,15.4,10.9,4.7,12.7,19.3,108.0,92.6,Clemson,West Virginia
Wake Forest,2010,ACC,9,19,10,0.655,72.8,69.5,11.45,8.85,26.2,60.3,0.434,21.8,46.3,0.472,4.3,14.0,0.308,16.2,24.6,0.657,14.9,27.2,42.1,11.9,7.1,5.2,15.2,20.1,100.9,96.4,Texas,Kentucky
Texas,2010,Big 12,8,24,9,0.727,81.2,70.0,18.56,7.38,29.6,63.5,0.466,23.8,46.8,0.509,5.7,16.6,0.345,16.4,25.8,0.633,14.8,27.1,41.9,14.4,7.9,5.7,13.6,19.7,109.2,94.1,,Wake Forest
Clemson,2010,ACC,7,21,10,0.677,73.4,64.5,15.71,7.9,26.6,58.7,0.453,19.8,39.0,0.509,6.8,19.7,0.342,13.5,20.4,0.661,13.1,23.7,36.8,14.2,9.4,4.7,15.0,17.6,104.8,92.1,,Missouri
Marquette,2010,Big East,6,22,11,0.667,73.1,64.6,15.17,8.23,25.3,55.6,0.456,17.3,36.1,0.479,8.1,19.5,0.413,14.4,19.4,0.741,10.1,21.4,31.5,15.2,7.9,2.1,10.4,17.1,111.9,99.0,,Washington
Temple,2010,Atlantic 10,5,29,5,0.853,64.9,56.8,12.44,4.27,24.3,55.5,0.438,18.5,38.2,0.484,5.8,17.3,0.337,10.5,15.2,0.689,10.8,25.8,36.6,14.7,4.7,3.0,10.2,14.9,104.1,91.0,,Cornell
Wisconsin,2010,Big Ten,4,23,8,0.742,67.1,56.9,17.84,7.66,23.5,53.0,0.443,16.1,32.1,0.5,7.5,20.9,0.357,12.6,17.2,0.732,9.7,22.3,32.0,12.5,5.7,3.4,8.8,16.3,111.3,94.4,Wofford,Cornell
New Mexico,2010,Mountain West,3,29,4,0.879,75.9,67.2,12.49,3.84,25.3,57.8,0.438,17.5,36.7,0.478,7.8,21.1,0.369,17.4,26.0,0.669,13.1,25.4,38.5,14.2,6.6,3.4,11.1,17.6,111.3,98.6,Montana,Washington
West Virginia,2010,Big East,2,27,6,0.818,72.4,63.5,19.16,10.26,24.8,57.6,0.43,18.0,37.6,0.48,6.8,20.1,0.337,16.1,22.8,0.704,15.4,23.2,38.6,15.5,5.6,4.1,11.9,18.1,111.4,97.7,"Morgan State, Missouri, Washington, Kentucky",Duke
Kentucky,2010,SEC,1,32,2,0.941,79.3,64.9,21.13,6.82,28.1,58.6,0.478,22.0,40.3,0.545,6.1,18.3,0.331,17.1,25.6,0.668,14.2,27.5,41.7,15.1,7.3,7.2,14.2,16.9,112.1,91.9,"East Tennessee State, Wake Forest, Cornell",West Virginia
Chattanooga,2009,So Con,16,18,16,0.529,75.9,76.8,-6.25,-3.13,25.1,57.2,0.438,16.8,33.7,0.498,8.3,23.5,0.352,17.5,26.7,0.657,12.5,26.7,39.3,13.6,6.2,2.3,15.7,18.5,,,,Connecticut
Cal State Northridge,2009,Big West,15,17,13,0.567,73.6,70.3,2.65,-0.14,26.5,58.3,0.454,19.5,38.7,0.505,6.9,19.6,0.353,13.7,19.7,0.696,13.0,24.1,37.1,13.9,8.9,2.7,17.7,22.0,,,,Memphis
Cornell,2009,Ivy League,14,21,9,0.7,73.6,64.7,2.71,-4.01,26.5,56.0,0.473,18.7,37.1,0.505,7.8,18.9,0.411,12.8,17.6,0.73,10.4,25.3,35.6,15.5,6.5,3.9,12.8,17.9,,,,Missouri
Mississippi State,2009,SEC,13,23,12,0.657,74.4,68.9,9.1,4.62,24.7,57.2,0.432,16.5,34.4,0.479,8.2,22.8,0.361,16.7,23.5,0.71,11.3,27.1,38.4,12.4,6.9,7.5,14.4,16.8,,,,Washington
Northern Iowa,2009,Missouri Valley,12,23,10,0.697,67.4,63.5,5.63,2.24,22.5,49.8,0.453,16.1,31.3,0.516,6.4,18.5,0.346,15.9,21.1,0.753,8.7,24.8,33.5,12.3,4.3,2.4,11.7,18.2,,,,Purdue
Utah State,2009,WAC,11,30,4,0.882,72.4,62.0,9.33,0.07,25.7,51.8,0.496,19.3,35.7,0.542,6.3,16.1,0.394,14.7,19.9,0.74,10.4,23.9,34.3,16.2,4.8,2.5,11.2,15.4,,,,Marquette
Maryland,2009,ACC,10,20,13,0.606,71.8,69.1,11.1,8.99,26.4,62.3,0.424,20.7,45.0,0.459,5.7,17.3,0.333,13.2,17.5,0.758,13.3,23.1,36.4,14.6,7.7,4.1,12.2,16.6,,,California,Memphis
Texas A&M,2009,Big 12,9,23,9,0.719,71.8,67.1,10.52,6.13,24.2,53.9,0.449,18.2,37.4,0.488,5.9,16.5,0.361,17.5,25.2,0.694,12.4,24.3,36.7,12.6,4.8,3.9,12.7,17.2,,,Brigham Young,Connecticut
BYU,2009,Mountain West,8,25,7,0.781,77.1,65.2,15.12,4.15,27.5,56.9,0.484,20.3,38.0,0.535,7.2,18.9,0.381,14.8,20.3,0.729,9.2,27.1,36.2,16.3,7.3,3.6,11.4,18.4,,,,Texas A&M
California,2009,Pac-10,7,22,10,0.688,74.9,68.8,13.3,7.21,27.0,56.0,0.483,20.7,41.1,0.503,6.4,14.9,0.427,14.5,19.2,0.755,10.1,23.6,33.7,15.4,4.8,2.0,12.1,17.0,,,,Maryland
Marquette,2009,Big East,6,24,9,0.727,78.3,69.5,15.06,7.87,26.1,57.8,0.452,19.2,37.8,0.508,6.9,20.0,0.347,19.1,26.2,0.728,12.1,23.5,35.6,15.0,7.9,2.9,11.7,17.8,,,Utah State,Missouri
Purdue,2009,Big Ten,5,25,9,0.735,69.1,59.8,16.44,7.17,24.7,56.0,0.441,18.1,36.9,0.49,6.6,19.0,0.347,13.1,18.6,0.703,9.8,24.5,34.4,14.9,7.2,4.8,11.5,17.6,,,"Northern Iowa, Washington",Connecticut
Washington,2009,Pac-10,4,25,8,0.758,78.6,69.5,16.78,8.19,27.9,61.0,0.457,23.7,48.7,0.488,4.2,12.4,0.337,18.6,26.5,0.7,15.2,25.9,41.1,13.1,7.4,2.7,14.7,19.5,,,Mississippi State,Purdue
Missouri,2009,Big 12,3,28,6,0.824,81.5,67.7,19.56,6.72,29.6,62.7,0.472,22.7,43.0,0.527,6.9,19.6,0.353,15.4,22.9,0.672,12.8,23.9,36.7,18.4,10.2,3.7,11.8,19.9,,,"Cornell, Marquette, Memphis",Connecticut
Memphis,2009,C-USA,2,31,3,0.912,75.1,58.8,20.92,4.63,26.5,58.8,0.45,20.5,40.4,0.506,6.0,18.4,0.326,16.2,23.5,0.69,13.5,25.8,39.2,14.2,8.9,6.0,12.5,17.7,,,"Cal State Northridge, Maryland",Missouri
Connecticut,2009,Big East,1,27,4,0.871,78.3,64.2,22.17,8.57,27.7,58.4,0.474,23.1,44.9,0.514,4.6,13.4,0.341,18.4,27.1,0.678,14.2,29.1,43.3,15.8,5.8,7.8,12.7,13.1,,,"Chattanooga, Texas A&M, Purdue, Missouri",Michigan State
Radford,2009,Big South,16,21,11,0.656,75.5,71.9,-4.54,-4.37,26.8,58.1,0.461,21.8,44.1,0.496,4.9,14.0,0.352,17.0,25.0,0.679,12.7,28.9,41.6,14.1,6.8,4.7,16.3,18.4,,,,North Carolina
Morgan State,2009,MEAC,15,23,11,0.676,66.7,62.3,-2.29,-6.53,24.5,58.5,0.419,19.3,43.1,0.448,5.2,15.3,0.337,12.5,19.3,0.649,14.5,23.5,38.0,11.2,6.6,3.1,13.0,19.2,,,,Oklahoma
Stephen F. Austin,2009,Southland,14,24,7,0.774,65.6,56.1,1.1,-3.21,24.6,56.1,0.438,19.0,38.6,0.494,5.5,17.5,0.316,10.9,16.8,0.649,9.7,25.5,35.2,13.2,6.3,3.1,12.0,18.2,,,,Syracuse
Akron,2009,Mid-American,13,23,12,0.657,66.8,60.3,3.37,-2.0,22.9,54.7,0.418,15.7,33.1,0.474,7.2,21.6,0.332,13.9,19.6,0.708,11.8,21.5,33.3,12.4,7.5,2.2,13.6,20.7,,,,Gonzaga
Western Kentucky,2009,Sun Belt,12,24,8,0.75,72.2,67.0,3.68,-1.23,25.6,56.7,0.452,17.8,35.7,0.498,7.8,21.0,0.373,13.1,19.0,0.689,12.7,24.1,36.8,13.4,5.7,3.3,13.3,17.3,,,Illinois,Gonzaga
Temple,2009,Atlantic 10,11,22,11,0.667,68.6,63.5,9.04,3.9,24.9,56.1,0.443,17.3,35.4,0.488,7.6,20.7,0.367,11.3,16.1,0.7,11.1,25.6,36.7,15.5,5.6,4.1,12.5,17.1,,,,Arizona State
Michigan,2009,Big Ten,10,20,13,0.606,66.9,63.2,11.9,9.74,23.2,54.6,0.425,14.5,28.5,0.508,8.7,26.1,0.334,11.8,15.5,0.757,9.6,21.5,31.1,15.5,6.4,2.6,11.5,15.3,,,Clemson,Oklahoma
Butler,2009,Horizon,9,26,5,0.839,67.8,57.9,10.07,2.07,22.0,50.3,0.438,14.0,27.4,0.51,8.0,22.8,0.352,15.7,21.6,0.724,10.3,23.9,34.2,13.0,6.0,3.2,12.5,17.8,,,,Louisiana State
LSU,2009,SEC,8,26,7,0.788,74.8,66.2,11.87,3.27,26.8,59.8,0.448,20.7,43.5,0.476,6.1,16.3,0.372,15.1,21.1,0.716,13.6,25.4,39.0,15.1,7.6,6.1,12.1,17.4,,,Butler,North Carolina
Clemson,2009,ACC,7,23,8,0.742,78.3,68.0,15.55,6.59,28.5,61.6,0.463,20.5,40.2,0.51,8.0,21.4,0.374,13.3,19.4,0.688,14.4,22.7,37.2,14.9,9.3,5.8,14.3,18.0,,,,Michigan
Arizona State,2009,Pac-10,6,24,9,0.727,69.4,60.5,16.7,7.82,23.6,49.1,0.48,15.3,26.9,0.571,8.2,22.2,0.37,14.0,19.0,0.737,8.2,22.8,31.0,15.5,5.7,2.1,11.5,15.9,,,Temple,Syracuse
Illinois,2009,Big Ten,5,24,9,0.727,64.8,57.2,14.38,6.73,25.3,54.9,0.461,19.7,39.1,0.505,5.5,15.8,0.35,8.8,12.3,0.711,9.4,23.7,33.1,17.5,5.9,3.6,12.4,15.3,,,,Western Kentucky
Gonzaga,2009,West Coast,4,26,5,0.839,78.9,63.0,17.95,3.55,28.4,58.3,0.488,21.1,39.4,0.535,7.4,18.9,0.39,14.7,20.5,0.717,10.1,27.4,37.5,15.1,7.2,5.1,11.4,16.2,,,"Akron, Western Kentucky",North Carolina
Syracuse,2009,Big East,3,26,9,0.743,80.2,71.7,17.24,9.48,29.2,59.9,0.487,22.5,40.4,0.557,6.7,19.6,0.345,15.0,23.3,0.645,12.7,26.9,39.6,18.1,7.8,5.1,15.3,15.3,,,"Stephen F. Austin, Arizona State",Oklahoma
Oklahoma,2009,Big 12,2,27,5,0.844,78.7,67.5,18.07,6.88,27.3,55.5,0.492,20.6,36.3,0.566,6.7,19.1,0.351,17.4,25.8,0.675,12.1,26.9,38.9,14.5,6.9,4.3,13.9,17.1,,,"Morgan State, Michigan, Syracuse",North Carolina
North Carolina,2009,ACC,1,28,4,0.875,89.8,72.0,25.45,8.35,31.7,66.0,0.48,24.8,48.1,0.515,6.9,17.9,0.387,19.4,25.9,0.752,14.6,27.3,41.9,18.0,8.6,5.2,12.4,16.0,,,"Radford, Louisiana State, Gonzaga, Oklahoma, Villanova, Michigan State",
Alabama State,2009,SWAC,16,22,9,0.71,68.8,63.3,-6.13,-11.2,25.5,54.8,0.466,19.8,37.6,0.528,5.7,17.2,0.329,12.2,19.2,0.634,11.2,24.1,35.3,13.9,5.7,4.8,13.6,17.4,,,,Morehead State
Robert Morris,2009,Northeast,15,24,10,0.706,70.5,65.4,-0.7,-5.23,25.1,53.1,0.473,18.7,36.7,0.509,6.5,16.4,0.394,13.7,19.5,0.704,10.1,23.1,33.2,15.3,8.6,3.5,15.1,19.8,,,,Michigan State
North Dakota State,2009,Summit,14,26,6,0.812,80.6,69.1,6.18,-2.72,28.6,58.7,0.487,21.4,41.2,0.519,7.2,17.5,0.412,16.2,21.9,0.739,11.0,24.5,35.5,14.7,7.0,3.3,11.2,16.3,,,,Kansas
Cleveland State,2009,Horizon,13,25,10,0.714,66.4,59.5,6.97,2.12,23.8,55.2,0.432,19.0,39.6,0.479,4.9,15.6,0.311,13.8,19.7,0.701,11.9,22.3,34.2,13.8,8.6,3.2,12.3,18.4,,,Wake Forest,Arizona
Arizona,2009,Pac-10,12,19,13,0.594,72.3,69.2,11.88,8.8,25.6,54.1,0.474,19.6,38.4,0.51,6.1,15.7,0.387,14.9,20.3,0.738,11.1,22.7,33.8,14.3,6.2,3.0,12.6,15.7,,,"Utah, Cleveland State",Louisville
Dayton,2009,Atlantic 10,11,26,7,0.788,66.8,61.4,7.16,1.76,23.7,56.3,0.421,18.3,39.8,0.46,5.4,16.5,0.328,13.9,21.5,0.648,13.8,24.1,37.9,13.9,6.5,3.5,13.6,19.2,,,West Virginia,Kansas
USC,2009,Pac-10,10,21,12,0.636,68.5,63.5,14.09,9.15,24.9,52.7,0.473,21.2,41.3,0.513,3.7,11.3,0.326,15.0,22.2,0.674,11.7,23.9,35.6,12.5,6.4,4.7,13.9,16.7,,,Boston College,Michigan State
Siena,2009,MAAC,9,26,7,0.788,77.4,70.3,8.05,0.99,28.8,61.6,0.467,23.5,45.7,0.515,5.3,15.9,0.33,14.6,22.0,0.664,12.5,23.9,36.4,15.3,8.8,4.5,13.2,14.9,,,Ohio State,Louisville
Ohio State,2009,Big Ten,8,22,10,0.688,66.8,62.0,12.48,8.23,23.6,49.0,0.481,17.0,31.6,0.539,6.5,17.5,0.375,13.2,18.8,0.701,8.1,23.0,31.0,13.3,5.9,5.3,13.3,15.2,,,,Siena
Boston College,2009,ACC,7,22,11,0.667,74.4,70.5,10.36,7.23,26.0,58.8,0.443,19.6,39.7,0.494,6.4,19.1,0.334,15.9,21.6,0.738,14.3,22.8,37.0,14.8,6.1,4.3,13.4,18.1,,,,Southern California
West Virginia,2009,Big East,6,23,11,0.676,72.0,61.8,18.57,8.34,25.3,59.1,0.429,18.7,39.0,0.48,6.6,20.1,0.329,14.8,21.2,0.698,15.2,23.1,38.3,15.1,6.7,4.5,12.0,18.9,,,,Dayton
Utah,2009,Mountain West,5,24,9,0.727,71.2,64.6,12.59,5.71,24.1,50.8,0.474,17.0,31.5,0.538,7.1,19.3,0.369,15.9,20.4,0.781,8.2,26.9,35.1,13.5,5.0,4.9,13.8,18.6,,,,Arizona
Wake Forest,2009,ACC,4,24,6,0.8,81.0,70.7,15.63,7.36,29.2,59.6,0.49,25.2,46.9,0.536,4.1,12.7,0.32,18.5,25.9,0.711,12.6,28.1,40.7,13.1,8.3,5.7,15.9,18.8,,,,Cleveland State
Kansas,2009,Big 12,3,25,7,0.781,76.4,65.4,18.02,7.9,27.0,56.5,0.478,20.8,39.8,0.522,6.2,16.7,0.371,16.2,22.3,0.725,12.0,27.1,39.2,15.9,6.8,4.4,14.5,19.0,,,"North Dakota State, Dayton",Michigan State
Michigan State,2009,Big Ten,2,26,6,0.812,72.0,63.7,17.71,9.37,25.3,56.2,0.451,20.0,41.3,0.485,5.3,14.9,0.354,16.1,23.1,0.698,14.0,25.0,39.0,16.1,6.5,2.8,14.0,19.3,,,"Robert Morris, Southern California, Kansas, Louisville, Connecticut",North Carolina
Louisville,2009,Big East,1,28,5,0.848,74.3,61.8,20.87,8.41,27.1,59.2,0.457,18.8,36.8,0.511,8.2,22.4,0.369,11.9,18.6,0.642,12.5,25.2,37.7,16.9,9.1,6.0,13.7,16.9,,,"Morehead State, Siena, Arizona",Michigan State
East Tennessee State,2009,Atlantic Sun,16,23,10,0.697,78.1,70.1,3.21,-1.87,27.8,60.1,0.462,22.0,42.8,0.515,5.7,17.4,0.331,16.9,23.8,0.709,11.6,26.3,37.9,12.6,8.4,3.9,14.0,18.3,,,,Pittsburgh
Binghamton,2009,America East,15,23,8,0.742,70.0,67.4,-3.27,-5.62,24.3,55.1,0.441,18.3,37.2,0.493,6.0,18.0,0.334,15.3,22.9,0.67,11.2,23.3,34.4,12.0,7.1,4.2,13.5,20.4,,,,Duke
American,2009,Patriot,14,24,7,0.774,64.5,59.1,-0.05,-5.49,23.5,50.4,0.465,16.3,31.2,0.522,7.2,19.2,0.374,10.4,16.1,0.648,9.4,23.3,32.7,13.2,5.5,2.5,13.2,18.2,,,,Villanova
Portland State,2009,Big Sky,13,23,9,0.719,73.2,68.5,1.14,-3.16,26.1,57.5,0.453,16.5,32.2,0.511,9.6,25.3,0.38,11.5,16.9,0.679,11.8,22.1,33.8,15.2,7.4,2.8,13.7,16.8,,,,Xavier
Wisconsin,2009,Big Ten,12,20,12,0.625,63.8,59.0,12.43,8.43,22.3,51.1,0.436,15.8,33.2,0.477,6.5,17.9,0.36,12.8,17.7,0.726,9.6,21.3,30.9,11.9,4.9,2.6,10.0,16.1,,,Florida State,Xavier
VCU,2009,CAA,11,24,9,0.727,71.8,63.4,7.7,-0.65,25.5,55.2,0.461,18.9,37.6,0.504,6.5,17.7,0.369,14.3,20.3,0.705,10.6,23.2,33.9,13.8,7.6,4.6,12.7,19.2,,,,UCLA
Minnesota,2009,Big Ten,10,22,10,0.688,66.3,61.6,11.32,7.19,23.7,53.7,0.441,18.0,36.3,0.496,5.7,17.4,0.327,13.2,18.5,0.715,12.0,22.4,34.4,14.1,8.3,6.1,14.5,17.8,,,,Texas
Tennessee,2009,SEC,9,21,12,0.636,78.4,72.5,13.6,7.71,28.1,61.9,0.455,21.4,40.5,0.529,6.7,21.4,0.315,15.4,22.7,0.676,14.3,24.4,38.7,16.3,6.6,3.6,13.3,19.0,,,,Oklahoma State
Oklahoma State,2009,Big 12,8,23,11,0.676,80.9,74.5,13.78,7.44,27.1,58.8,0.46,17.7,34.5,0.514,9.3,24.3,0.384,17.3,23.2,0.748,9.9,25.1,34.9,12.7,7.6,2.3,12.3,21.3,,,Tennessee,Pittsburgh
Texas,2009,Big 12,7,23,11,0.676,72.3,65.6,14.83,8.09,26.2,58.9,0.444,21.5,42.8,0.502,4.7,16.2,0.293,15.2,22.8,0.668,14.2,24.7,38.8,12.8,6.2,5.3,12.6,19.3,,,Minnesota,Duke
UCLA,2009,Pac-10,6,26,8,0.765,75.5,64.0,18.64,7.18,27.6,56.4,0.49,20.1,37.6,0.535,7.5,18.7,0.399,12.7,17.6,0.724,11.3,21.6,32.9,15.5,8.3,3.1,12.6,17.1,,,Virginia Commonwealth,Villanova
Florida State,2009,ACC,5,25,9,0.735,68.3,64.9,11.37,7.91,23.4,53.9,0.435,17.3,35.9,0.481,6.2,18.0,0.342,15.3,21.1,0.725,11.4,24.4,35.8,12.1,8.1,5.8,15.7,18.8,,,,Wisconsin
Xavier,2009,Atlantic 10,4,28,7,0.8,71.7,61.9,14.45,4.65,24.2,52.7,0.459,17.4,35.4,0.491,6.8,17.3,0.394,16.4,24.3,0.676,12.0,27.4,39.4,13.3,5.3,5.1,14.6,18.7,,,"Portland State, Wisconsin",Pittsburgh
Villanova,2009,Big East,3,30,7,0.811,76.8,67.4,17.45,8.72,26.1,57.7,0.451,19.6,39.3,0.498,6.5,18.4,0.352,18.2,24.2,0.753,12.6,25.6,38.1,14.5,7.9,3.4,13.3,19.3,,,"American, UCLA, Duke, Pittsburgh",North Carolina
Duke,2009,ACC,2,30,6,0.833,77.5,65.9,20.1,9.07,26.2,59.1,0.444,19.0,38.4,0.496,7.2,20.7,0.349,17.8,24.4,0.728,13.2,23.2,36.4,13.3,8.4,3.9,12.3,18.1,,,"Binghamton, Texas",Villanova
Pittsburgh,2009,Big East,1,31,4,0.886,77.4,64.4,21.21,8.61,28.9,60.4,0.478,22.6,42.6,0.531,6.3,17.8,0.352,13.4,19.8,0.676,14.8,25.0,39.8,17.6,6.8,3.9,12.1,16.3,,,"East Tennessee State, Oklahoma State, Xavier",Villanova
Mississippi Valley State,2008,SWAC,16,17,15,0.531,61.7,65.9,-15.28,-9.5,21.2,53.2,0.398,16.7,40.0,0.418,4.5,13.2,0.337,14.9,22.0,0.678,11.8,21.8,33.5,11.5,6.2,2.7,14.3,17.6,,,,UCLA
Belmont,2008,Atlantic Sun,15,25,8,0.758,79.8,73.4,-0.12,-3.44,27.6,61.1,0.451,17.1,32.3,0.529,10.5,28.8,0.365,14.1,20.3,0.698,12.5,24.2,36.7,17.3,8.5,1.9,14.6,18.4,,,,Duke
Georgia,2008,SEC,14,17,16,0.515,68.1,67.4,7.24,7.03,24.7,57.5,0.429,18.7,39.3,0.476,6.0,18.2,0.33,12.6,18.6,0.679,13.3,24.8,38.1,11.6,6.7,3.4,14.9,18.0,,,,Xavier
San Diego,2008,West Coast,13,21,13,0.618,65.7,63.8,3.39,1.45,24.1,53.5,0.451,19.2,39.0,0.492,4.9,14.4,0.34,12.6,18.7,0.672,10.7,22.8,33.5,13.2,6.9,3.1,14.9,17.5,,,Connecticut,Western Kentucky
Western Kentucky,2008,Sun Belt,12,27,6,0.818,77.4,66.8,9.34,0.24,27.6,58.5,0.472,20.1,39.4,0.51,7.5,19.1,0.393,14.7,21.0,0.701,12.6,22.4,35.1,12.7,8.0,3.8,14.3,21.3,,,"Drake, San Diego",UCLA
Baylor,2008,Big 12,11,21,10,0.677,81.3,74.9,11.46,5.75,28.1,61.8,0.454,19.5,39.1,0.498,8.6,22.7,0.378,16.5,22.2,0.743,12.0,25.4,37.4,12.1,7.4,4.3,12.6,20.8,,,,Purdue
Arizona,2008,Pac-10,10,19,14,0.576,71.9,66.9,14.55,10.22,24.8,51.9,0.478,18.3,35.3,0.519,6.5,16.6,0.39,15.8,21.1,0.749,8.3,22.7,30.9,15.5,5.6,3.5,12.2,16.4,,,,West Virginia
Texas A&M,2008,Big 12,9,24,10,0.706,70.8,61.6,16.2,7.46,25.3,54.0,0.467,19.4,37.7,0.514,5.9,16.3,0.359,14.4,22.8,0.633,11.8,27.2,38.9,13.5,4.4,4.0,12.7,17.0,,,Brigham Young,UCLA
BYU,2008,Mountain West,8,27,7,0.794,73.7,63.2,11.82,1.33,25.9,56.3,0.46,17.7,34.5,0.515,8.1,21.8,0.373,13.8,21.1,0.655,10.4,28.2,38.6,16.8,5.9,3.9,14.1,17.7,,,,Texas A&M
West Virginia,2008,Big East,7,24,10,0.706,74.8,63.6,17.97,7.16,26.6,58.6,0.453,19.4,38.5,0.504,7.1,20.1,0.355,14.6,21.1,0.689,12.2,23.8,36.0,15.4,6.9,5.1,11.2,19.2,,,"Arizona, Duke",Xavier
Purdue,2008,Big Ten,6,24,8,0.75,69.6,62.4,13.1,5.9,23.7,55.9,0.424,16.3,35.9,0.453,7.4,20.0,0.373,14.8,20.7,0.712,11.4,21.6,33.1,13.3,8.4,4.3,12.8,19.7,,,Baylor,Xavier
Drake,2008,Missouri Valley,5,28,4,0.875,73.9,62.1,14.08,4.15,24.7,55.4,0.446,15.3,30.0,0.512,9.4,25.5,0.369,15.1,19.9,0.759,12.1,22.1,34.2,14.7,7.6,2.6,11.8,14.9,,,,Western Kentucky
